gml_id,Provincien,provincies_cbs_regiocode,provincies_afkorting,provincies_tgn,provincies_geonames,provincies_gemeentegeschiedenis,provincies_bag
id2f5ccb03-37c5-4486-a8ed-bdd38b1811ba,Noord-Holland,27,NH,http://vocab.getty.edu/tgn/7006951,http://www.geonames.org/2749879,http://www.gemeentegeschiedenis.nl/provincie/Noord-Holland,
idb1754627-62df-4794-9105-77f99ed50c21,Groningen,20,Gr,http://vocab.getty.edu/tgn/7003613,http://www.geonames.org/2755249,http://www.gemeentegeschiedenis.nl/provincie/Groningen,
id082bd022-929d-489d-953c-820cabdf485e,Overijssel,23,Ov,http://vocab.getty.edu/tgn/7003626,http://www.geonames.org/2748838,http://www.gemeentegeschiedenis.nl/provincie/Overijssel,
idab68a604-0d04-4fc3-8583-af703983ae9e,Zeeland,29,Ze,http://vocab.getty.edu/tgn/7003635,http://www.geonames.org/2744011,http://www.gemeentegeschiedenis.nl/provincie/Zeeland,
idc0116a91-c843-444b-a831-449dc975befb,Friesland,21,Fr,http://vocab.getty.edu/tgn/7003616,http://www.geonames.org/2755812,http://www.gemeentegeschiedenis.nl/provincie/Friesland,
id6c5bea54-3088-4304-8cdc-f99004d08d86,Drenthe,22,Dr,http://vocab.getty.edu/tgn/7003614,http://www.geonames.org/2756631,http://www.gemeentegeschiedenis.nl/provincie/Drenthe,
id994bf4d4-95e1-480f-befa-3fae81461095,Flevoland,24,Fl,http://vocab.getty.edu/tgn/7003615,http://www.geonames.org/3319179,http://www.gemeentegeschiedenis.nl/provincie/Flevoland,
id81e83a67-0753-4ec0-82c3-c811a6428085,Utrecht,26,Ut,http://vocab.getty.edu/tgn/7003627,http://www.geonames.org/2745909,http://www.gemeentegeschiedenis.nl/provincie/Utrecht,
id944fbd7c-ddbd-44cf-85ce-dddafcbd0b0e,Zuid-Holland,28,ZH,http://vocab.getty.edu/tgn/7003632,http://www.geonames.org/2743698,http://www.gemeentegeschiedenis.nl/provincie/Zuid-Holland,
id22284f3e-212f-432b-a3aa-77a474edbdd9,Limburg,31,Li,http://vocab.getty.edu/tgn/7003622,http://www.geonames.org/2751596,http://www.gemeentegeschiedenis.nl/provincie/Limburg,
id8c0e3c06-25b5-4af2-96eb-c41e76f187d0,Gelderland,25,Ge,http://vocab.getty.edu/tgn/7003619,http://www.geonames.org/2755634,http://www.gemeentegeschiedenis.nl/provincie/Gelderland,
ide1538fa9-85b5-42d9-9dee-fafa6785d681,Noord-Brabant,30,NB,http://vocab.getty.edu/tgn/7003624,http://www.geonames.org/2749990,http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant,
