Volgnummer;Naam;Datering;Beginjaar;Beginjaar_prec;Eindjaar;Eindjaar_prec;Bron
;Graafschap Henegouwen;998-1795;998;;1795;;Wikipedia
;Graafschap Holland;±1100-1795;1100;ca.;1795;;Wikipedia
;Graafschap Loon;ca.1014-1366;1014;ca.;1366;;Wikipedia
;Graafschap Namen;981-1795;981;;1795;;Wikipedia
;Graafschap Vlaanderen;862-1795;862;;1795;;Wikipedia
;Graafschap Zeeland;1323-1581;1323;;1581;;Wikipedia
;Graafschap Zutphen;1046-1798;1046;;1798;;Wikipedia
;Graafschap Artesi;9e eeuw-1659;9e eeuw;ca.;1659;;Wikipedia
;Graafschap Bergen;957-1071;957;;1071;;Wikipedia
;Landgraafschap Brabant;1085-1183;1085;;1183;;Wikipedia
;Graafschap Brussel;9e eeuw-midden 12e eeuw;9e eeuw;ca.;midden 12e eeuw;ca;Wikipedia
;Graafschap Buren;994-1795;994;;1795;;Wikipedia
;Graafschap Culemborg;1318-1798;1318;;1798;;Wikipedia
;Graafschap Dalhem;1350-1797;1350;;1797;;Wikipedia
;Graafschap Drenthe;1024-1046;1024;;1046;;Wikipedia
;Graafschap Duras;1024-1789;1024;;1789;;Wikipedia
;Graafschap Midden-Friesland;1006-1088 (1101);1006;;1088 (1101);ca;Wikipedia
;Graafschap Oost-Friesland;1464-1744;1464;;1744;;Wikipedia
;West-Frisia;8e eeuw-1100;8e eeuw;ca.;1100;;Wikipedia
;Graafschap Geleen en Amstenrade;1664-1794;1664;;1794;;Wikipedia
;Graafschap Geleen;1654-1664;1654;;1664;;Wikipedia
;Rijksgraafschap Gronsveld;elfde eeuw-1795;elfde eeuw;ca.;1795;;Wikipedia
;Graafschap Horn;(1243) 1450-1795;(1243) 1450;ca.;1795;;Wikipedia
;Graafschap Kessel;±950-1307;±950;ca.;1307;;Wikipedia
;Graafschap Lingen;1150-1702;1150;;1702;;Wikipedia
;Graafschap Lohn;ca. 1086-1316;ca. 1086;ca.;1316;;Wikipedia
;Graafschap Megen;ca. 1145-1794;ca. 1145;ca.;1794;;Wikipedia
;Land van Valkenburg;-1797;;onbekend;1797;;Wikipedia
;Rijksgraafschap Wittem;1206-1794;1206;;1794;;Wikipedia
;Hertogdom Gelre;1339-1795;1339;;1795;;Wikipedia
;Heerlijkheid Utrecht;1528-1795;1528;;1795;;Wikipedia
;Heerlijkheid Friesland;1524-1795;1524;;1795;;Wikipedia
;Heerlijkheid Overijssel;1528-1798;1528;;1798;;Wikipedia
;Heerlijkheid Groningen;1536-1594 (1648);1536;;1594 (1648);ca;Wikipedia
;Stad en Lande;1594 (1648)-1798;1594 (1648);ca.;1798;;Wikipedia
;Landschap Drenthe;1528-1795;1528;;1795;;Wikipedia
;Republiek der Zeven Verenigde Nederlanden;1588-1795;1588;;1795;;Wikipedia
;Staats-Brabant;1648-1795;1648;;1795;;Wikipedia
;Staats-Vlaanderen;1648-1795;1648;;1795;;Wikipedia
;Staats-Overmaas;1661-1795;1661;;1795;;Wikipedia
;Staats-Opper-Gelre;1713-1795;1713;;1795;;Wikipedia
;Hertogdom Brabant;1183-1795;1183;;1795;;Wikipedia
;Habsburgse Nederlanden;1482-1585/1795;1482;;1585/1795;ca;Wikipedia
;Hertogdom Limburg;1082-1795;1082;;1795;;Wikipedia
;Hertogdom Limburg;1839-1866;1839;;1866;;Wikipedia
;Heerlijkheid Vianen;Circa 1250(1648)-1725(1795);1250(1648);ca.;1725(1795);;Wikipedia
;Baronie IJsselstein;1279-1795;1279;;1795;;Wikipedia
;Abdijvorstendom Thorn;1320 - 1795;1320;;1795;;Wikipedia
;Hertogdom Gulik;11e eeuw - 1794;11e eeuw ;ca.;1794;;Wikipedia
;Prinsbisdom Luik;980-1795;980;;1795;;Wikipedia
;Tweeherigheid van Maastricht;1204-1795;1204;;1795;;Wikipedia
;Land van Altena;12e eeuw-1589;12e eeuw;ca.;1589;;Wikipedia
;Heerlijkheid Bokhoven;1363-1795;1363;;1795;;Wikipedia
;Rijksheerlijkheid Gemert;1220-1794/1798;1220;;1794/1798;ca;Wikipedia
;Heerlijkheid Boxmeer;± 1300-1797/1798;1300;ca.;1797/1798;ca;Wikipedia
;Land van Ravenstein;1360-1794/1798;1360;;1794/1798;ca;Wikipedia
;Hertogdom Kleef;1417Ð1795;1417;;1795;;Wikipedia
;Land van Cuijk;11e eeuwÐ1795;11e eeuw;ca.;1795;;Wikipedia
