rijksnr;Monumentnaam;X_COORD RD;Y_COORD RD;X_WGS84;Y_WGS84;Historisch adres;historisch straatnaam;historisch huisnummer;historische toevoegingen;historische plaatsnaam;historische gemeentenaam;postcode;provincie;gemeente;plaatsnaam;nieuw adres;straat;huisnummer;toevoeging
21788;;149454;410819;5,307001959211;51,686129768184;Peperstraat 39-41;Peperstraat;39-41;;'s-Hertogenbosch;'s-Hertogenbosch;5211 KM;Noord-Brabant;'s-Hertogenbosch;'s-Hertogenbosch;Peperstraat 11;Peperstraat;11;
32267;;217609;488666;6,306783997344;52,382278866768;Rijksweg;Rijksweg;;;Raalte-Almelo;Overijsel;8106 AC;Overijssel;Raalte;Marinheem;Nijverdalseweg 10;Nijverdalseweg;10;
32267;;217609;488666;6,306783997344;52,382278866768;Rijksweg;Rijksweg;;;Raalte-Nijverdal;Overijsel;8106 AC;Overijssel;Raalte;Marinheem;Nijverdalseweg 10;Nijverdalseweg;10;
32266;;222536;490368;6,379482521871;52,396989495761;Lu 86;Lu;86;;Luttenberg;Raalte;8105 SN;Overijssel;Raalte;Luttenberg;Buurtschapsweg 2;Buurtschapsweg;2;
384365;Schoonheten;216797;485213;6,294224063759;52,351339990993;Schoonheten 8;Schoonheten;8;;Raalte;Raalte;8111 PV;Overijssel;Raalte;Heeten;Schoonhetenseweg 56;Schoonhetenseweg;56;
35103;;149822;600172;5,309385330955;53,387862908251;Zuidwal;Zuidwal;;;Formerum;;8894 KH;Friesland;Terschelling;Formerum;Formerum Zuid 7;Formerum Zuid;7;
35044;;143556;596864;5,215329291979;53,358042826353;Lange Buurtstraat;Lange Buurtstraat;;;;;8881 BA;Friesland;Terschelling;Terschelling West;Commandeurstraat 10;Commandeurstraat;10;
35050;;143489;596815;5,214324781703;53,357601117045;Lange Buurtstraat A 43;Lange Buurtstraat;A 43;;;;8881 BB;Friesland;Terschelling;Terschelling West;Commandeurstraat 32;Commandeurstraat;32;
35049;;143494;596823;5,214399587964;53,357673105457;Lange Buurtstraat 2115;Lange Buurtstraat;2115;;;;8881 BB;Friesland;Terschelling;Terschelling West;Commandeurstraat 30;Commandeurstraat;30;
35050;;143489;596815;5,214324781703;53,357601117045;Lange Buurtstraat 32;Lange Buurtstraat;32;;;;8881 BB;Friesland;Terschelling;Terschelling West;Commandeurstraat 32;Commandeurstraat;32;
