"plaats","start","eind","aantal","id"
"Dantziek","1701","1780","39","1250"
"Diedam","1712","1777","7","5429"
"De hoge","1718","1721","4","10536"
"Dermonde","1704","1780","17","2518"
"Swobach","1750","1763","7","5513"
"Bodenburg","1719","1787","4","9242"
"Berwijler","1731","1786","5","6973"
"Dord:","1704","1755","4","10136"
"Wel","1693","1781","21","2083"
"Heijen","1710","1776","6","6135"
"Noortkoping","1713","1768","4","10359"
"Nievel","1757","1770","4","9582"
"Lexmonde","1711","1752","9","4429"
"Oud beijerland","1704","1792","85","649"
"Mastrecht","1738","1785","4","8843"
"Dramen","1681","1791","36","1344"
"Bevere","1701","1789","6","6064"
"Selle","1695","1790","105","542"
"Radenburg","1743","1775","8","5059"
"Huijsduijnen","1636","1752","17","2560"
"Boeren","1711","1767","4","9581"
"Westkerke","1734","1785","8","5011"
"Visbag","1761","1788","6","6385"
"Arendorp","1694","1791","14","2973"
"Zas van gent","1705","1725","4","9117"
"Cristiaanzant","1764","1779","29","1593"
"Waelwijk","1721","1763","8","5105"
"Emoij","1787","1793","78","714"
"Gameren","1743","1767","5","7599"
"Callenburg","1698","1774","8","4979"
"Waerdenburg","1718","1757","4","8987"
"Wagenburg","1761","1766","4","9826"
"Blankenberg","1706","1790","55","951"
"Kreijtsburg","1721","1780","8","4985"
"Bleiswijk","1715","1792","7","5892"
"Liste","1648","1775","9","4260"
"Bernheijm","1740","1787","6","6882"
"t stigt bremen","1707","1747","9","4636"
"Oppenheim","1736","1791","11","3668"
"Hilverzum","1734","1794","4","10206"
"Berlijn","1648","1794","2434","25"
"Nigtevegt","1699","1769","20","2216"
"Lansberge","1694","1776","4","9549"
"Risemoor","1714","1777","4","8677"
"St: johan","1724","1791","4","8533"
"Cruijningen","1718","1748","5","7819"
"Delmershorst","1748","1780","6","6849"
"Reijns","1753","1792","7","5545"
"Gr:lip","1710","1718","5","7236"
"Drammen in noorwegen","1635","1793","4","9939"
"Muijde","1708","1776","6","6179"
"Keurpaltz","1761","1792","7","5373"
"Kempte","1710","1787","5","7469"
"Prenslauw","1752","1789","15","2742"
"Griethuijsen","1694","1783","14","2885"
"Greeve","1741","1786","7","5416"
"Kergheijm","1754","1774","9","4217"
"Claaswaal","1684","1751","6","6159"
"Valkenisse","1706","1781","10","3997"
"Gragt","1724","1786","9","4637"
"Beijleveldt","1710","1788","5","8001"
"Loosdregt","1683","1792","117","498"
"Siegenheim","1752","1791","14","3051"
"Kellen","1731","1777","7","5251"
"Rheemen","1725","1776","4","10367"
"Anhalt Serbst","1727","1753","5","7307"
"Hessendarmstadt","1746","1790","16","2601"
"De purmer","1689","1762","12","3506"
"Iserloon","1720","1785","11","3600"
"Reenen","1687","1782","45","1105"
"Nijmegen","1637","1793","101","565"
"Luns","1735","1761","4","9760"
"Severgem","1718","1772","6","6088"
"S'hertogenbosch","1706","1788","41","1200"
"Westerdijk","1732","1770","4","9466"
"Ekesund","1729","1732","9","4270"
"Straesburg","1637","1779","13","3174"
"Milhoussen","1761","1773","6","6444"
"Spandou","1753","1776","8","4719"
"Eijksveld","1745","1775","17","2562"
"Attendoorn","1740","1777","7","5615"
"De braek","1737","1791","7","5473"
"Stugard","1745","1793","10","3889"
"Hammelen","1764","1773","4","10731"
"St. marten","1722","1783","4","10449"
"Daelen","1723","1786","13","3166"
"Christiaansand in noorwegen","1737","1789","8","5178"
"Sprang","1699","1793","65","825"
"Sneberg","1688","1790","13","3245"
"Diese","1709","1789","5","7886"
"Hardewijk","1718","1793","18","2381"
"Eijland veur","1705","1792","15","2820"
"Oostvoorn","1723","1785","8","4771"
"Vlissingh","1701","1721","26","1728"
"Termemel","1768","1793","6","6645"
"Trier","1637","1793","219","292"
"Coningsberge","1693","1793","100","573"
"Bergeijk","1759","1784","4","10744"
"Hamb:","1636","1792","592","121"
"Helle","1744","1789","8","5168"
