"plaats","start","eind","aantal","id"
"Rossem","1700","1777","6","5982"
"Wiskerk","1725","1763","2","16288"
"Katwijk","1695","1790","31","1496"
"St. gallen","1734","1790","2","24737"
"Den helder","1702","1788","7","5376"
"Hilburgh","1721","1748","5","7517"
"Laban","1754","1774","3","11497"
"Anhalt","1695","1786","59","892"
"Den briell","1714","1780","9","4390"
"Cristiaanzant","1764","1779","29","1593"
"Veegesak","1736","1783","2","25090"
"Hildersheim","1721","1791","24","1865"
"Asbeek","1728","1785","5","7331"
"Purmer","1681","1764","7","5555"
"Borgholsen","1745","1779","14","3047"
"Bleij","1721","1793","12","3403"
"Cleverham","1720","1727","2","15656"
"Berne","1694","1786","19","2258"
"Nieuwerkerk in gelderland","1722","1762","2","23741"
"Sardan","1711","1791","3","14291"
"Zegenberg","1760","1769","2","24434"
"Inbeek","1720","1749","4","9160"
"Hamburgerbergh","1752","1771","3","12002"
"Klijn ammers","1745","1764","3","13078"
"Herleshausen","1737","1774","2","20407"
"Suremo","1748","1748","2","20568"
"Aperade","1753","1771","2","21724"
"Muijde","1708","1776","6","6179"
"Maagdeborg","1769","1775","4","9469"
"Termeij","1700","1778","12","3345"
"Ossnabrugge","1692","1749","2","20930"
"Wilshausen","1726","1785","15","2761"
"Grombagh","1772","1772","2","26165"
"Swartsenberg","1720","1791","7","5619"
"Heijnen","1721","1779","5","7849"
"Leide","1734","1790","4","8786"
"Catwoude","1772","1773","2","15487"
"Lumer","1721","1789","2","16663"
"Weerde","1717","1789","8","5048"
"Rinseveen","1700","1776","22","2034"
"Armstadt","1732","1765","4","10329"
"Alphen bij wesel","1765","1779","2","17562"
"Clanfort","1749","1772","3","11896"
"Prijts","1691","1756","5","8059"
"Marselje","1704","1792","36","1342"
"St. ubes","1765","1787","3","13910"
"Nijhoes","1747","1770","2","24648"
"Maegdenb.","1707","1728","2","24117"
"Huijer in holstijn","1704","1705","2","24050"
"Koningswinkel","1757","1771","2","19366"
"Nieuwlandt","1737","1787","9","4261"
"Robuij","1693","1704","2","27689"
"Memming","1661","1769","2","26990"
"Maaslant","1699","1793","6","6790"
"S'haage","1724","1792","21","2120"
"Beuns","1754","1788","2","24767"
"Bordenou","1768","1774","2","26204"
"Malijk","1680","1783","2","27647"
"Kaprik","1721","1736","2","22551"
"Leeuwaarden","1643","1794","2224","28"
"St: remo","1747","1758","2","21653"
"Loo in brandenburg","1718","1718","2","18615"
"Bukkenburg","1732","1790","27","1651"
"Venhuizen","1723","1763","11","3799"
"Ter neusen","1705","1745","8","4876"
"Siedelsbag","1791","1792","2","17911"
"Habersleben","1729","1775","4","9406"
"Magdenb","1746","1748","2","25152"
"St. george delmina","1788","1790","2","27561"
"Hessenburg","1759","1759","2","17462"
"Oosanen","1681","1687","6","6430"
"Coesvelt","1649","1789","44","1123"
"Springelingen","1729","1774","8","5117"
"Suijtbroek","1751","1776","3","13138"
"Helsingvoorst","1764","1772","8","5165"
"Amisfort","1719","1732","4","10490"
"Maagdenberg","1700","1749","7","5744"
"Groot schermer","1684","1769","4","8976"
"Nimvegen","1747","1790","2","25656"
"Krijsburg","1757","1767","2","26449"
"Oosterhoud","1700","1791","39","1238"
"Braker","1721","1787","2","16617"
"Veerte","1737","1768","3","11404"
"Regensburg","1699","1793","66","816"
"Der lipstadt","1682","1703","2","25897"
"Elsvliet","1683","1793","142","425"
"Straelsant","1710","1749","5","8221"
"Wertsheijm","1730","1733","2","22940"
"Perigoos","1731","1779","2","22913"
"Alssen","1728","1748","4","10483"
"Mil","1647","1789","9","4523"
"Daesem","1748","1748","2","25216"
"Lasanne","1761","1792","4","8448"
"Kloosterbuuren","1773","1790","2","25529"
"Pagau","1787","1787","2","27557"
"Putten","1690","1790","39","1245"
"Huir","1694","1732","2","16456"
"Lottering","1739","1784","6","6241"
"Nieuenburg","1694","1758","4","9349"
"Coulits","1736","1758","2","15686"
